text,hap_val,ang_val,sad_val,fea_val,dis_val,EMO_lab
"Ten porządek kontestujemy, jesteśmy zwolennikami poważnej dyskusji o nowej konstytucji. Natomiast my tę dyskusję prowadzimy, adwokat Jacek Wilk, jeden z naszych kandydatów już przedstawił swój projekt ,są inne projekty będziemy o tym wszystkim dyskutować.",1.06,0.65,0.54,0.79,0.52,HAP
"Jeżeli chodzi o samą pozycję Trybunału Konstytucyjnego, to wydaje się, że cała ta cywilizacja prawno-polityczna w świecie zachodnim poszła w złą stronę Nam się taka sytuacja nie podoba i nie mamy zamiaru tutaj, jak mówię, za tych prawników z jednej czy drugiej frakcji umierać czy się tutaj kłócić, bo to to nie ma nic wspólnego z interesami zwykłych ludzi.",0.9,0.85,0.88,0.91,0.63,FEA
"Ten porządek kontestujemy, jesteśmy zwolennikami poważnej dyskusji o nowej konstytucji. Jeżeli chodzi o samą pozycję Trybunału Konstytucyjnego, to wydaje się, że cała ta cywilizacja prawno-polityczna w świecie zachodnim poszła w złą stronę",0.99,0.8,0.72,0.79,0.57,HAP
Warto głosować na Lewicę Głosowanie na Lewicę jest szansą na realną zmianę.,1.25,0.47,0.45,0.84,0.37,HAP
"Warto głosować na Lewicę Ludzie są rozczarowani władzą, zwłaszcza rządami opozycji",0.73,1.06,0.72,0.93,0.85,ANG
"Warto głosować na Lewicę Lewica to jest gwarancja tego że nie wróci świat, w którym zarabiało się 3 złote 50 gr za godzinę.",0.96,0.49,0.47,0.64,0.34,HAP
"Warto głosować na Lewicę Lewica to jest gwarancja tego, że nie wróci świat, w którym wylewanie kilometrów autostrad było ważniejsze od inwestycji w ludzi.",0.73,0.47,0.48,0.5,0.37,HAP
"Warto głosować na Lewicę Wybór Lewicy to początek budowania w Polsce nowoczesnego, europejskiego, świeckiego państwa dobrobytu.",1.04,0.61,0.59,0.84,0.51,HAP
"Warto głosować na Lewicę Wybór Prawicy będzie skutkował zsuwaniem się Polski w stronę pisowskiego zamordyzmu, coraz dalej od Europy",0.6,0.39,0.37,0.54,0.3,HAP
"PO inwestowała w autostrady po to, by zainwestować w ludzi. Przez ostatnie osiem lat Platforma Obywatelska inwestowała w autostrady.",0.67,0.67,0.77,0.71,0.48,SAD
"Zagłosujcie na Koalicję Obywatelską. Jesteśmy mądrzejsi, lepsi niż 10 lat temu.",0.1,0.05,0.05,0.07,0.05,HAP
Zagłosujcie na Koalicję Obywatelską. Naszym zadaniem jest to żebyśmy po wyborach czuli się w Polsce wszyscy jak u siebie.,1.15,0.72,0.69,0.94,0.47,HAP
"Nie ma skuteczniejszego sposobu odsunięcia złej władzy od władzy niż odebrać ją w demokratycznych wyborach. To jest ten moment, to jest ta chwila, możecie podnieść dumnie głowę i iść na wybory.",1.45,1.1,0.87,1.25,0.76,HAP
Zagłosujcie na Koalicję Obywatelską. Nie ma skuteczniejszego sposobu odsunięcia złej władzy od władzy niż odebrać ją w demokratycznych wyborach.,1.14,1.25,0.93,1.3,0.85,FEA
"Naszym zadaniem jest to żebyśmy po wyborach czuli się w Polsce wszyscy jak u siebie. Polska to jest nasza wspólna ojczyzna. Wierzących i niewierzących, młodych, starych, kobiet i mężczyzn.",1.8,0.87,0.95,1.07,0.59,HAP
"Pan redaktor wszedł w rolę polityka opozycji, który stwierdza, że doszło do jakiegoś naruszenia prawa podczas gdy nie doszło. Klasyczne pytanie z tezą.",0.94,0.67,0.58,0.8,0.56,HAP
"Konstytucja jasno stanowi, że tryb postępowania, tryb wyboru również sędziów reguluje ustawa. Ci sędziowie byli wybrani zgodnie z prawem. Po to, żeby naprawić ten zamach na Trybunał Konstytucyjny, którego dokonało PO-PSL wybierając sobie sędziów na zapas.",1.35,0.96,0.94,1.34,0.84,HAP
"Więc to łamanie konstytucji to nie do nas, tylko do naszych poprzedników, uwaga to Prawo i Sprawiedliwość stoi na straży praworządności i przestrzegania konstytucji w Polsce. Ja ze sobą jako jedyny chyba mam Konstytucję.",0.7,0.51,0.46,0.53,0.4,HAP
"Więc to łamanie konstytucji to nie do nas, tylko do naszych poprzedników, uwaga to Prawo i Sprawiedliwość stoi na straży praworządności i przestrzegania konstytucji w Polsce. To nasi oponenci pochwalają ograniczanie wolności działalności gospodarczej, co widać choćby na przykładzie drukarza z Łodzi, który miał być zmuszany do drukowania propagandy LGBT.",0.91,0.6,0.54,0.66,0.5,HAP
"Więc to łamanie konstytucji to nie do nas, tylko do naszych poprzedników, uwaga to Prawo i Sprawiedliwość stoi na straży praworządności i przestrzegania konstytucji w Polsce. Chociażby weźmy artykuł 1osiemnasty:  małżeństwo jako związek kobiety i mężczyzny. To nasi oponenci chcą naruszyć ten artykuł para-małżeństwami homoseksualnymi.",0.9,0.5,0.51,0.54,0.38,HAP
"To nasi oponenci pochwalają ograniczanie wolności działalności gospodarczej, co widać choćby na przykładzie drukarza z Łodzi, który miał być zmuszany do drukowania propagandy LGBT. Ograniczenie wolności gospodarczej może być tylko na drodze ustawy.",1.58,0.82,0.79,1.0,0.72,HAP
"Konstytucja jasno stanowi, że tryb postępowania, tryb wyboru również sędziów reguluje ustawa. Ci sędziowie byli wybrani zgodnie z prawem. Wyobraźmy sobie co by było gdyby teraz na przykład, korzystając z większości parlamentarnej, PiS wybrał sobie na zapas prezydenta na następną kadencję.",1.16,0.79,0.72,0.97,0.68,HAP
"Więc to łamanie konstytucji to nie do nas, tylko do naszych poprzedników, uwaga to Prawo i Sprawiedliwość stoi na straży praworządności i przestrzegania konstytucji w Polsce. Konstytucja jasno stanowi, że tryb postępowania, tryb wyboru również sędziów reguluje ustawa. Ci sędziowie byli wybrani zgodnie z prawem.",1.04,0.76,0.69,0.96,0.64,HAP
"Więc to łamanie konstytucji to nie do nas, tylko do naszych poprzedników, uwaga to Prawo i Sprawiedliwość stoi na straży praworządności i przestrzegania konstytucji w Polsce. Pan redaktor wszedł w rolę polityka opozycji, który stwierdza, że doszło do jakiegoś naruszenia prawa podczas gdy nie doszło.",0.65,0.51,0.43,0.55,0.4,HAP
"No tak bo pan poseł Horała chociaż ma ze sobą konstytucję to kompletnie nie rozumie konstytucji i nie wie czym jest łamanie konstytucji.  Panie pośle, przez 30 lat wolnej Polski każdy rząd wielokrotnie uchwalił ustawę która była niezgodna z konstytucją. Problem polega na tym że Trybunał Konstytucyjny uznał że jest coś niezgodnego z konstytucją a wy wyroku nie wydrukowaliście.",1.04,0.86,0.81,0.92,0.72,HAP
"Panie pośle, przez 30 lat wolnej Polski każdy rząd wielokrotnie uchwalił ustawę która była niezgodna z konstytucją. Problem polega na tym że Trybunał Konstytucyjny uznał że jest coś niezgodnego z konstytucją a wy wyroku nie wydrukowaliście. My uznaliśmy wyrok każdy Trybunału Konstytucyjnego to jest różnica między nami.",0.65,0.87,0.84,0.97,0.74,FEA
"Wycofali się później z tego pod naporem Unii Europejskiej, pod naporem społecznym. Ale to nie zmienia ich głównej winy którą jest nieprzestrzeganie konstytucji i nie szanowanie demokratycznego państwa prawa.",0.71,0.59,0.56,0.67,0.48,HAP
"Szanowni Państwo, Konstytucji nie trzeba codziennie nosić ze sobą, ale codziennie trzeba jej przestrzegać i tego przez 4 lata nie zrobili rządzący. Po prostu ją w wielu miejscach sponiewierali, podporządkowali ją sobie, najlepszym przykładem jest ustawa o Sądzie Najwyższym, gdzie wprost złamali konstytucję.",1.35,1.0,0.96,1.16,0.85,HAP
"Po prostu ją w wielu miejscach sponiewierali, podporządkowali ją sobie, najlepszym przykładem jest ustawa o Sądzie Najwyższym, gdzie wprost złamali konstytucję. Wycofali się później z tego pod naporem Unii Europejskiej, pod naporem społecznym.",0.91,0.64,0.62,0.75,0.54,HAP
"więc konstytucję naprawdę trzeba czytać i znać a nie tylko nosić na koszulkach, trzeba przestrzegać a nie nią wymachiwać. Szanowni Państwo, czysta demagogia - słyszymy o łamaniu konstytucji.",1.73,0.88,0.87,0.93,0.75,HAP
"żeby twierdzić że łamie to ustawa, która w prost… Zero przywołania jakiegokolwiek artykułu Konstytucji, to ja państwu przeczytam: artykuł 188 ustęp czwarty “ustawa określa granicę wieku po osiągnięciu której sędziowie przechodzą w stan spoczynku”, ",1.17,0.94,0.91,1.12,0.84,HAP
"żeby twierdzić że łamie to ustawa, która w prost… Bardzo proszę:  “w razie zmiany ustroju sądów można przenosić sędziego do innego sądu lub stan spoczynku”,",1.23,1.34,1.29,1.73,1.14,FEA
"więc konstytucję naprawdę trzeba czytać i znać a nie tylko nosić na koszulkach, trzeba przestrzegać a nie nią wymachiwać. żeby twierdzić że łamie to ustawa, która w prost…",1.76,1.25,1.16,1.37,1.07,HAP
"Praworządność to jest to z czym ma do czynienia obywatel, z czym ma do czynienia przedsiębiorca na samym dole. My w Konfederacji nie postrzegamy praworządności w ten sposób że więcej profesorów związanych z panem Tuskiem czy z panem Kaczyńskim będzie w tej czy innej instytucji konstytucyjnej.",0.39,0.36,0.45,0.48,0.33,FEA
"Praworządność to jest to z czym ma do czynienia obywatel, z czym ma do czynienia przedsiębiorca na samym dole. To czy czeka na pierwszą rozprawę wiele miesięcy, czy jest w stanie załatwić swoją sprawę w sądzie tak szybko jakby to było możliwe przy dobrej organizacji pracy sędziów.",0.76,0.73,0.73,0.88,0.53,FEA
"Praworządność to jest to z czym ma do czynienia obywatel, z czym ma do czynienia przedsiębiorca na samym dole. Czy sędziowie pracują właśnie w sposób przyjazny czy nie.",0.67,0.53,0.7,0.79,0.48,FEA
"Praworządność to jest to z czym ma do czynienia obywatel, z czym ma do czynienia przedsiębiorca na samym dole. I w tej sprawie nic się nie zmieniło poza tym że procesy się wydłużyły. ",0.2,0.2,0.36,0.35,0.19,SAD
"Bo jak ktoś opowiada bajki no to to mnie śmieszy.  Platforma, która ma prominentnych działaczy z zarzutami korupcyjnymi, prokuratorskimi, których procesy...",1.1,0.45,0.46,0.46,0.4,HAP
Dzisiaj prawo nie obowiązuje działaczy PiS-u. Prawo nie obowiązuje inwestora dwóch wież Jarosława Kaczyńskiego,0.93,0.86,0.69,0.79,0.63,HAP
"Dzisiaj prawo nie obowiązuje działaczy PiS-u. nie obowiązuje ministrów składających oświadczenia niezgodne z prawdą: ministra Szyszkę, ministra Dworczyka, ministra Banasia.",0.99,1.26,0.87,0.9,1.05,ANG
"Dzisiaj prawo nie obowiązuje działaczy PiS-u. Minister Marian Banaś to właściwie symbol tej władzy, możesz mieć dziwne konszachty z gangsterami, możesz zaniżać należne podatki, ale jak jesteś z drużyny PiSu, którą ośmielili się nazwać biało-czerwoną, to zostaniesz ministrem finansów, zostaniesz nawet szefem skarbówki, ba - zostaniesz prezesem NIK-u.",0.82,0.75,0.58,0.7,0.61,HAP
Ten świat to jest świat pisowskiej niepraworządności. Dzisiaj prawo nie obowiązuje działaczy PiS-u.,1.84,1.22,1.13,1.24,0.88,HAP
"Dlatego 13 października głosujemy na Prawo i Sprawiedliwość. Dzięki PiS Polska może być zachodnim krajem na zachodnim poziomie dobrobytu, jednocześnie zachowując to co dla nas najważniejsze: naszą tożsamość, naszą tradycję, polską rodzinę.",0.44,0.15,0.15,0.19,0.14,HAP
"Dlatego 13 października głosujemy na Prawo i Sprawiedliwość. PiS nie spoczywa na laurach, przed nami ogromna szansa,",1.17,0.3,0.29,0.41,0.24,HAP
"Otrzymaliśmy 500+, otrzymaliśmy trzynaste emerytury, mamy niższe podatki, ale przede wszystkim jesteśmy dumni z Polski. Polacy z wielkich miast, z małych miast, z wsi, z którymi się spotykamy w tej kampanii wyborczej mówią -  tak, żyje nam się lepiej.",0.85,0.56,0.54,0.54,0.45,HAP
"PiS nie spoczywa na laurach, przed nami ogromna szansa, Otrzymaliśmy 500+, otrzymaliśmy trzynaste emerytury, mamy niższe podatki, ale przede wszystkim jesteśmy dumni z Polski.",1.12,0.63,0.6,0.62,0.51,HAP
wybierajcie państwo Konfederację. Konfederacja ma najniższą średnią wieku wśród kandydatów na swoich listach.,1.05,0.73,0.68,0.8,0.6,HAP
"wybierajcie państwo Konfederację. Konfederacja uważa, że w Sejmie potrzebni są ludzie ideologii, ludzie konserwatywni, ludzie niezależnie myślący, ludzie którzy są dobrze przygotowani.",0.9,0.59,0.59,0.75,0.46,HAP
"Konfederacja jest jedyną formacją która nie ma zamiaru przekonywać państwa, że kupi państwa głosy za pieniądze, które odprowadzacie w podatkach prosto do budżetu. Konfederacja jest jedyną formacją antysystemową, jedyną, która prowadzi kampanię wyborczą za swoje własne pieniądze.",0.42,0.48,0.44,0.48,0.42,ANG
"wybierajcie państwo Konfederację. Konfederacja jest jedyną formacją która nie ma zamiaru przekonywać państwa, że kupi państwa głosy za pieniądze, które odprowadzacie w podatkach prosto do budżetu.",0.77,0.78,0.75,0.77,0.67,ANG
"Na listach Konfederacji są świetni kandydaci. W Konfederacji są ludzie, którzy działają dla idei, którzy działają dla Polski i którzy chcą przedstawić alternatywę, przedstawiają tę alternatywę, dla tego stylu uprawiania polityki, do którego mogliśmy przyzwyczaić się ze strony partii okrągłostołowych.",1.44,0.91,0.8,0.96,0.81,HAP
wybierajcie państwo Konfederację. Na listach Konfederacji są świetni kandydaci.,2.49,1.31,1.21,1.45,1.07,HAP
wybierajcie państwo Konfederację. Konfederacja jest siłą konserwatywną.,1.86,1.08,0.94,1.28,0.78,HAP
"Konfederacja jest siłą konserwatywną. Jeżeli chcą Państwo politycznej zmiany, ludzi którzy mają przemyślany program, oparty na wartościach konserwatywnych,",1.48,0.89,0.86,1.1,0.71,HAP
Ten system od samego początku źle skonstruowany - musimy pamiętać że on jest dziedzictwem rządów SLD.,0.5,0.51,0.39,0.48,0.44,ANG
"Ten system od samego początku źle skonstruowany - Ten system jest skrajnie scentralizowany,  jest zbiurokratyzowany i nie jest w stanie rozwiązać jeden urząd centralny problemów ochrony zdrowia wszystkich obywateli.",0.92,0.73,0.69,0.87,0.64,HAP
Oczywiście w tym systemie potrzebne jest więcej pieniędzy. Natomiast obecnie Polacy nie mają impulsu do tego żeby dołożyć swoich pieniędzy do tego systemu to nie jest nawet umożliwione.,0.54,0.41,0.39,0.4,0.29,HAP
"Jesteśmy za wprowadzeniem systemu, który pozwoli ludziom zarządzać swoimi własnymi składkami zdrowotnymi, tak jest w Singapurze,",0.81,0.63,0.55,0.62,0.54,HAP
jesteśmy za rozwiązaniami które umożliwią ludziom również podnoszenia standardu usług zdrowotnych dzięki współpłaceniu bo tak jest w Czechach.,1.16,0.61,0.62,0.65,0.49,HAP
"wszystkie komitety wyborcze poza nami podpisały Pakt dla zdrowia o którym wspomniał mój przedmówca. Jest to filozofia opierająca się na założeniu,  że jeżeli dodamy więcej pieniędzy do tego systemu to ten system zaczyna działać. W Konfederacji uważamy że to nie jest możliwe. Ten system od samego początku źle skonstruowany -",0.9,0.52,0.5,0.69,0.45,HAP
"wszystkie komitety wyborcze poza nami podpisały Pakt dla zdrowia o którym wspomniał mój przedmówca. Jest to filozofia opierająca się na założeniu,  że jeżeli dodamy więcej pieniędzy do tego systemu to ten system zaczyna działać. W Konfederacji uważamy że to nie jest możliwe. Oczywiście w tym systemie potrzebne jest więcej pieniędzy. Natomiast obecnie Polacy nie mają impulsu do tego żeby dołożyć swoich pieniędzy do tego systemu",0.79,0.51,0.48,0.6,0.41,HAP
Szukajmy rozwiązań które działają na świecie nie na biurokrację którą zrobił SLD. jesteśmy za rozwiązaniami które umożliwią ludziom również podnoszenia standardu usług zdrowotnych dzięki współpłaceniu,1.84,1.04,1.03,1.11,0.78,HAP
"Szukajmy rozwiązań które działają na świecie nie na biurokrację którą zrobił SLD. Jesteśmy za wprowadzeniem systemu, który pozwoli ludziom zarządzać swoimi własnymi składkami zdrowotnymi,",1.62,1.06,0.98,1.09,0.8,HAP
"Szukajmy rozwiązań które działają na świecie nie na biurokrację którą zrobił SLD. wszystkie komitety wyborcze poza nami podpisały Pakt dla zdrowia o którym wspomniał mój przedmówca. Jest to filozofia opierająca się na założeniu,  że jeżeli dodamy więcej pieniędzy do tego systemu to ten system zaczyna działać. W Konfederacji uważamy że to nie jest możliwe.",1.32,0.79,0.74,0.92,0.62,HAP
"więc warto z tego skorzystać. Jeżeli nikt nie chce - Marcin Horała. Ja tylko przypomnę że riposty nie przechodzą do następnej rundy,",0.72,0.4,0.56,0.55,0.4,HAP
przyjęliśmy ustawę -  i będziemy ją realizować - stałego wzrostu wydatków na ochronę zdrowia. Ale oczywiście bardzo dużo jeszcze pozostało do zrobienia:,1.27,0.8,0.77,0.95,0.67,HAP
Bardzo dobrze że była mowa o zwiększeniu limitów przyjęć na studia medyczne bo to właśnie uczynił rząd Prawa i Sprawiedliwości. Wzrosła liczba miejsc na studiach medycznych z ponad sześciu tysięcy do prawie dziesięciu tysięcy.,1.28,1.0,0.86,1.07,0.86,HAP
Bardzo dobrze że była mowa o zwiększeniu limitów przyjęć na studia medyczne bo to właśnie uczynił rząd Prawa i Sprawiedliwości. Zeszły rok to był pierwszy rok kiedy do pracy przyszło więcej pielęgniarek niż odeszło z tego zawodu.,1.24,0.98,0.84,1.04,0.75,HAP
"Na koniec tej kadencji roczne wydatki na ochronę zdrowia to będzie już dwa razy więcej niż za rządów naszych poprzedników. Wreszcie zapewnimy pakiet badań kontrolnych profilaktycznych dla każdego po 40 roku życia. To jest konkretna obietnica, to zrealizujemy już podczas pierwszych 100 dni rządu. przyjęliśmy ustawę -  i będziemy ją realizować - stałego wzrostu wydatków na ochronę zdrowia.",1.29,0.9,0.85,0.99,0.74,HAP
"cieszę się że padło już to sformułowanie że trzeba wygospodarować więcej pieniędzy na służbę zdrowia, bo to właśnie uczyniło Prawo i Sprawiedliwość. Pokazaliśmy, że umiemy zarządzać finansami publicznymi i znaleźć dodatkowe prawie 30 miliardów na ochronę zdrowia.",1.04,0.37,0.36,0.54,0.34,HAP
"Pokazaliśmy, że umiemy zarządzać finansami publicznymi i znaleźć dodatkowe prawie 30 miliardów na ochronę zdrowia. My nie tylko mówimy ale robimy - w porównaniu z rokiem 2014 wydatki na ochronę zdrowia w Polsce wzrosły z 73 do 102 miliardów złotych.",1.35,0.67,0.62,0.84,0.56,HAP
Ale oczywiście bardzo dużo jeszcze pozostało do zrobienia: Bardzo dobrze że była mowa o zwiększeniu limitów przyjęć na studia medyczne bo to właśnie uczynił rząd Prawa i Sprawiedliwości.,1.08,0.99,0.81,0.99,0.79,HAP
"Ale oczywiście bardzo dużo jeszcze pozostało do zrobienia: cieszę się że padło już to sformułowanie że trzeba wygospodarować więcej pieniędzy na służbę zdrowia, bo to właśnie uczyniło Prawo i Sprawiedliwość.",0.62,0.13,0.17,0.25,0.13,HAP
i dzisiaj jeżeli nie będziemy wszyscy niezależnie czy w opozycji czy w koalicji działać wspólnie na rzecz poprawy służby zdrowia nie będzie lepiej. Nie ma poprawy. Polska służba zdrowia jest w ruinie,1.27,0.64,0.72,0.88,0.56,HAP
"Nie ma poprawy. Polska służba zdrowia jest w ruinie Słyszą państwo teraz o kraju mlekiem i miodem płynącym. Panie pośle Horała, trzeba przejść się na SOR i porozmawiać z pacjentami, jak czekają po 17 godzin na krześle na pomoc lekarską. Wydłużyły się kolejki w dwudziestu sześciu specjalnościach, tylko w czterech się skróciły.",1.0,0.79,0.79,0.86,0.6,HAP
"I to pielęgniarki dzięki ministrowi naszemu dostały rzeczywiste podwyżki. Przypomnę też panu że to właśnie my w 2014 roku uruchomiliśmy cztery nowe wydziały lekarskie: w Kielcach, w Opolu, Zielonej Górze, Rzeszowie.",0.27,0.21,0.16,0.16,0.19,HAP
na koniec tego roku w relacji do PKB tych pieniędzy w ochronie zdrowia będzie zdecydowanie mniej. Pan poseł Horała jako przewodniczący komisji śledczej powinien doskonale wiedzieć że podawanie wartości pieniędzy w wartościach nominalnych jest manipulacją.,1.03,0.57,0.56,0.76,0.45,HAP
"Nie można wybierać złych ludzi i myśleć, że dokonają dobrych rzeczy. To, co się wydarzyło w ostatnich tygodniach, o czym się dowiedzieliśmy, co się dzieje z panem Banasiem, to jest niesłychane. Ludzie na ulicach chwytają się za głowę, jak rozmawiam z nim o tej sprawie,",1.66,1.24,1.19,1.33,0.92,HAP
"trzeba wprowadzić kontrolę społeczną. Nie można wybierać złych ludzi i myśleć, że dokonają dobrych rzeczy.",1.73,1.39,1.2,1.37,1.01,HAP
"Trzeba zmienić system, tak żeby można było odwołać np. posła w trakcie kadencji, żeby to nie prezes partii był decydujący o najważniejszych sprawach. Nie można wybierać złych ludzi i myśleć, że dokonają dobrych rzeczy.",1.02,0.99,0.82,0.87,0.76,HAP
"To tylko doprowadzi do zmiany całego systemu. Nie da się zmienić instytucji bez zmiany odpowiedzialności, a odpowiedzialność musi być przed narodem, a nie przed prezesem.",1.01,0.71,0.7,0.99,0.59,HAP
"Dlatego postulujemy np. wybór posłów w ordynacji mieszanej, jednomandatowe okręgi wyborcze i połowa miejsc w jednomandatowych okręgach wyborczych, reszta ordynacją większościową. Trzeba w ogóle zmienić filozofię sprawowania władzy w Polsce, dać więcej kontroli społecznej, więcej odpowiedzialności, też więcej zaangażowania.",0.49,0.34,0.27,0.43,0.28,HAP
"Trzeba w ogóle zmienić filozofię sprawowania władzy w Polsce, dać więcej kontroli społecznej, więcej odpowiedzialności, też więcej zaangażowania. Nie można wybierać złych ludzi i myśleć, że dokonają dobrych rzeczy.",1.11,0.94,0.77,0.93,0.68,HAP
"Dlatego postulujemy np. wybór posłów w ordynacji mieszanej, jednomandatowe okręgi wyborcze i połowa miejsc w jednomandatowych okręgach wyborczych, reszta ordynacją większościową. To tylko doprowadzi do zmiany całego systemu.",0.69,0.41,0.37,0.56,0.34,HAP
"to pytanie jest postawione w taki sposób, że nie mamy okazji przedstawić naszego programu. nie da się z jednostkowego przykładu wyciągać jakichś ogólnych wniosków,",0.46,0.33,0.25,0.43,0.28,HAP
"okazuje się że jakichś podstawowych kryminalnych powiązań, które Dziennikarze wyłapują, te służby nie odkrywają, to co świadczy po prostu fatalnie o jakości zarządzania tym całym sektorem policyjno-bezpieczniackim.  Jeżeli służby specjalne, które przez PiS były reformowane przez cztery lata, nie potrafią prześwietlić kandydatów na kluczowe państwowe stanowiska, ",0.88,0.41,0.37,0.49,0.33,HAP
"okazuje się że jakichś podstawowych kryminalnych powiązań, które Dziennikarze wyłapują, te służby nie odkrywają, to co świadczy po prostu fatalnie o jakości zarządzania tym całym sektorem policyjno-bezpieczniackim.  Co mnie zupełnie nie dziwi, bo wiem, że policjanci odpowiedzialni za nadużycia przy Marszach Niepodległości ciągle pracują na tych samych komisariatach co wcześniej.",1.04,0.52,0.51,0.66,0.42,HAP
